track,artist,year,uri,mode,key_signature,key_integer,time_signature,bpm
Don't You (Forget About Me) - Remastered,Simple Minds,2013,spotify:track:0A4PZuepTcIQVvA5m7R0M1,0,11,2,4,133.019
You Can't Hurry Love,Phil Collins,1982,spotify:track:4YUlGNZfYA6EUE5KDsGqpC,1,7,1,4,97.874
Faith - Remastered,George Michael,1987,spotify:track:0HEmnAUT8PHznIAAmVXqFJ,1,11,5,4,95.846
Crazy Little Thing Called Love - Remastered 2011,Queen,1980,spotify:track:6xdLJrVj4vIXwhuG8TMopk,1,0,0,4,77.015
The Best - Edit,Tina Turner,1991,spotify:track:2W2ieVidLIx9TDvxu0ZT6F,1,0,0,4,103.777
Dancing In the Dark,Bruce Springsteen,1984,spotify:track:7FwBtcecmlpc1sLySPXeGE,0,1,4,4,148.723
I Still Haven't Found What I'm Looking For - Remastered 2007,U2,1987,spotify:track:7gozgbG5EBTukCFWToTRA5,1,1,-5,4,100.891
I'm Still Standing,Elton John,2007,spotify:track:0lzpfrTARexLFXEACKSXTh,0,10,-5,4,177.354
Every Breath You Take,The Police,2017,spotify:track:0SNGe4xksgp7CGnY5kMXOJ,1,1,-5,4,117.394
Heaven,Bryan Adams,1984,spotify:track:7Ewz6bJ97vUqk5HdkvguFQ,0,9,0,4,140.059
Karma Chameleon,Culture Club,1983,spotify:track:3XDeeP9wBZzGhIPZmLfEEx,1,10,-2,4,92.056
Uptown Girl,Billy Joel,1983,spotify:track:5zA8vzDGqPl2AzZkEYQGKh,1,4,4,4,128.992
Time After Time,Cyndi Lauper,2014,spotify:track:1Jj6MF0xDOMA3Ut2Z368Bx,1,0,0,4,130.439
Every Little Thing She Does Is Magic - Remastered 2003,The Police,1981,spotify:track:60HDLY1Dh2Hy9wTVI3WPzO,1,2,2,4,81.909
Got My Mind Set On You - 2004 Mix,George Harrison,1987,spotify:track:3OeUlriM0EZHdWleJtjoVr,1,4,4,4,149.206
Under Pressure - Remastered,Queen,1982,spotify:track:2fuCquhmrzHpu5xcA1ci9x,1,2,2,4,113.805
Walking On Sunshine,Katrina & The Waves,1985,spotify:track:05wIrZSwuaVWhcv5FfqeH0,1,10,-2,4,109.902
Purple Rain,Prince,1984,spotify:track:4m2GdLuOhDt6rFbgOFMHIL,1,10,-2,4,114.147
Islands In The Stream,Kenny Rogers,2008,spotify:track:4WrwO9Un3ji5wnNySDGHwQ,1,8,-4,4,204.003
Don't Stop Believin',Journey,2018,spotify:track:3DtK601PJiNPe8COo67unB,1,4,4,4,119.022
Summer Of '69,Bryan Adams,1984,spotify:track:0GONea6G2XdnHWjNZd6zt3,1,2,2,4,139.131
Against All Odds (Take a Look at Me Now) - 2016 Remaster,Phil Collins,2016,spotify:track:63CHa6rmamv9OsehkRD8oz,1,1,-5,4,116.271
Hungry Eyes,Eric Carmen,1987,spotify:track:25BxqC9Yo7TQ175DLAyMJs,1,5,-1,4,110.52
With Or Without You - Remastered,U2,1987,spotify:track:2x45xqISlmmDJqxOqr8BuS,1,2,2,4,110.181
The Winner Takes It All,ABBA,1980,spotify:track:5kBZR12AntJUTo9UeAsKqP,1,6,6,4,126.951
Don't Dream It's Over,Crowded House,1986,spotify:track:7G7tgVYORlDuVprcYHuFJh,1,8,-4,4,81.833
Africa,TOTO,1982,spotify:track:2374M0fQpWi3dLnB54qaLX,1,9,3,4,92.717
Hungry Heart,Bruce Springsteen,1980,spotify:track:1KsI8NEeAna8ZIdojI3FiT,1,8,-4,4,109.823
Walk Of Life,Dire Straits,1985,spotify:track:4tyl9OMKMG8F2L0RUYQMH3,1,4,4,4,172.435
Wake Me Up Before You Go-Go,Wham!,1984,spotify:track:5XsMz0YfEaHZE0MTb1aujs,1,0,0,4,81.366
Here I Go Again - 2017 Remaster,Whitesnake,1987,spotify:track:0Cp7pkYwl4WCGRHhrfcsrg,1,7,1,4,90.172
Nothing's Gonna Stop Us Now,Starship,1987,spotify:track:2vEQ9zBiwbAVXzS2SOxodY,1,6,6,4,95.988
Manic Monday,The Bangles,1985,spotify:track:798fUF6UnRn27xiVuKyJCi,1,2,2,4,121.737
Everywhere - 2017 Remaster,Fleetwood Mac,1987,spotify:track:254bXAqt3zP6P50BdQvEsq,1,4,4,4,114.965
Heaven Is a Place on Earth,Belinda Carlisle,2013,spotify:track:37Q5anxoGWYdRsyeXkkNoI,0,1,4,4,122.902
I Want To Break Free,Queen,1984,spotify:track:3mvoMBK8QDtnhz8U2L2XK2,1,4,4,4,109.142
The Power Of Love,Huey Lewis & The News,2006,spotify:track:2olVm1lHicpveMAo4AUDRB,1,5,-1,4,118.773
Super Trouper,ABBA,1980,spotify:track:7AMnWNkwYPxaVDgkwmEEKj,1,0,0,4,118.35
Nikita,Elton John,1985,spotify:track:5lBI9isMBEHRn5Wxde058W,1,7,1,4,86.605
All Night Long (All Night) - Single Version,Lionel Richie,2003,spotify:track:5a9BgulCg84pm4kgwGGArI,1,1,-5,4,108.787
Start Me Up - Remastered,The Rolling Stones,1981,spotify:track:7HKez549fwJQDzx3zLjHKC,1,5,-1,4,122.429
Take on Me,a-ha,1985,spotify:track:2WfaOiMkCvy7F5fcp2zZ8L,0,6,3,4,84.412
Pride (In The Name Of Love) - Remastered 2009,U2,1984,spotify:track:65E62rOSbm7SZbAMYjNTJq,1,4,4,4,105.701
A Little Respect - 2009 Remastered Version,Erasure,1988,spotify:track:7aS418hRnOnYrXeyrZilwk,1,0,0,4,113.804
Invisible Touch - Remastered,Genesis,1986,spotify:track:480dDrqG7LO6qDaphHeXlM,1,0,0,4,131.037
Radio Ga Ga - 2011 Mix,Queen,1984,spotify:track:1nQRg9q9uwALGzouOX5OyQ,1,5,-1,4,112.344
"(I've Had) The Time of My Life - From ""Dirty Dancing"" Soundtrack",Bill Medley,2009,spotify:track:1UvTPXlImVd4jcucK4qJwb,0,6,3,4,108.695
If I Could Turn Back Time,Cher,1989,spotify:track:0eHZ7dpv4iT7bMEYDoILIa,1,11,5,4,108.329
I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,1987,spotify:track:2tUBqZG2AbRi7Q0BIrVrEj,1,1,-5,4,118.814
The Look,Roxette,1988,spotify:track:0ZfM5XfJTtFPhOxAERRnNY,1,2,2,4,95.011
The Boys Of Summer,Don Henley,2009,spotify:track:7KY40pRBPKQSaSe0j5nKUK,1,6,6,4,177.399
Bette Davis Eyes,Kim Carnes,1981,spotify:track:0odIT9B9BvOCnXfS0e4lB5,1,5,-1,4,116.624
"Footloose - From ""Footloose"" Soundtrack",Kenny Loggins,1984,spotify:track:2vz1CsL5WBsbpBcwgboTAw,1,2,2,4,173.982
She Drives Me Crazy,Fine Young Cannibals,2006,spotify:track:0Zt9fqRK58Y0onY1VwaKp7,1,2,2,4,108.8
I Want to Know What Love Is - 1999 Remaster,Foreigner,1984,spotify:track:1JLn8RhQzHz3qDqsChcmBl,1,6,6,4,81.204
Never Tear Us Apart,INXS,1987,spotify:track:1GjbTNFImFrjFsNdleDe78,1,0,0,3,96.6
You Can Call Me Al,Paul Simon,1986,spotify:track:0qxYx4F3vm1AOnfux6dDxP,1,5,-1,4,128.433
9 to 5,Dolly Parton,1980,spotify:track:4w3tQBXhn5345eUXDGBWZG,1,6,6,4,105.39
Everybody Wants To Rule The World,Tears For Fears,1985,spotify:track:40dJCw4xU6Bd5ie9rfagNo,1,7,1,4,112.053
Girls Just Want to Have Fun,Cyndi Lauper,2007,spotify:track:7sMGwiS4vOMcz86ZY3vKYM,1,6,6,4,120.527
Always on My Mind,Pet Shop Boys,1998,spotify:track:07ABETRdek3ACMpRPvQuaT,1,7,1,4,124.874
Don't You Want Me - 2002 - Remaster,The Human League,2003,spotify:track:5lmYpa6EaVAKAlwxMf7q5c,0,9,0,4,117.651
I Just Called To Say I Love You,Stevie Wonder,1999,spotify:track:6RNDeRnWsRMjPdNVgupZCs,1,1,-5,4,113.535
St. Elmos Fire (Man in Motion),John Parr,1985,spotify:track:1A2PWRltFrX8iB8IP3CUgo,1,9,3,4,111.203
