track,artist,year,uri,mode,key_signature,key_integer,time_signature,bpm
Everybody Loves Somebody,Dean Martin,2013,spotify:track:78VG6M1i7JQXBdygmWFwye,0,3,6,4,80.599
All I Have to Do Is Dream,The Everly Brothers,2011,spotify:track:72nqbbrKjhXmDdRXQGq115,1,4,4,4,103.709
Beyond the Sea,Bobby Darin,1959,spotify:track:3KzgdYUlqV6TOG7JCmx2Wg,0,2,-1,4,136.483
Hello Mary Lou (Goodbye Heart),Ricky Nelson,2008,spotify:track:0IMS1Za69G3KHMX4liB2Nr,1,9,3,4,98.661
True Love Ways,Buddy Holly,1999,spotify:track:7KW8zYlJwFieEHMgMresJN,1,10,-2,4,83.576
Under the Boardwalk,The Drifters,1964,spotify:track:65jrjEhWfAvysKfnojk1i0,1,7,1,4,123.789
Take Good Care Of My Baby - 1990 Remastered,Bobby Vee,2011,spotify:track:1MR7XamWS0XH6vZxeeRdE0,1,1,-5,4,82.443
Dream Lover,Bobby Darin,2004,spotify:track:1KLpjQFgubHI3GkAICCNH3,1,5,-1,4,131.715
That's Amore,Dean Martin,2013,spotify:track:2viNxee3uNcVXrXvwAUVir,1,10,-2,4,79.243
"Return to Sender - From ""Girls! Girls! Girls!""",Elvis Presley,1962,spotify:track:3uwIoa2emQILz6BmH6MtiW,1,8,-4,4,130.335
Blueberry Hill - Remastered 2002,Fats Domino,2007,spotify:track:2NkAoxQOr6MGdMB5JDTU81,1,11,5,3,136.662
Will You Love Me Tomorrow,The Shirelles,2005,spotify:track:038uhVbOVY9RUMR93PZ56G,1,0,0,4,137.167
Mack the Knife,Bobby Darin,1959,spotify:track:3E5ndyOfO6vFDEIE42HA8o,0,3,6,4,82.755
The Great Pretender,The Platters,1986,spotify:track:2FkCjtQ1lYsf71s2FAS8hE,1,7,1,3,116.351
(‘Til) I Kissed You,The Everly Brothers,2012,spotify:track:1vVY5vd4kowd70TdTuEjfV,0,10,-5,4,140.647
Breaking Up Is Hard to Do,Neil Sedaka,2003,spotify:track:7utoClKnLShFg6u6dZ20gp,0,8,5,4,116.53
Be My Baby,The Ronettes,2012,spotify:track:1WN4uNclrDuczTO3bCr8s1,1,4,4,4,129.639
(What A) Wonderful World,Sam Cooke,2000,spotify:track:2g2GkH3vZHk4lWzBjgQ6nY,1,11,5,4,128.518
Smoke Gets In Your Eyes,The Platters,1959,spotify:track:2vSxjnyrWrtxyfzO47EX6q,1,3,-3,3,171.222
Bye Bye Love,The Everly Brothers,2010,spotify:track:1j7HyD3cxyYw9bMFevxWyR,1,9,3,4,169.259
"Que Sera, Sera (Whatever Will Be, Will Be)",Doris Day,2013,spotify:track:0CozDlSNCJObj8Jqeq71sh,1,9,3,4,175.482
Crazy - Single Version,Patsy Cline,2012,spotify:track:5SAQzOl4teRowjStrY3pjw,1,10,-2,3,69.861
