track,artist,year,uri,mode,key_signature,key_integer,time_signature,bpm
Don't Go Breaking My Heart,Elton John,1975,spotify:track:7HW5WIw7ZgZORCzUxv5gW5,1,5,-1,4,131.459
You're so Vain,Carly Simon,1972,spotify:track:2DnJjbjNTV9Nd5NOa1KGba,1,0,0,4,106.186
Listen to the Music,The Doobie Brothers,1972,spotify:track:7Ar4G7Ci11gpt6sfH9Cgz5,0,1,4,4,105.929
Easy,Commodores,1977,spotify:track:1JQ6Xm1JrvHfvAqhl5pwaA,0,10,-5,4,132.909
Let Your Love Flow,The Bellamy Brothers,1976,spotify:track:064SVQsmWl5EF0zahmzkQk,1,3,-3,4,109.071
Your Song,Elton John,1970,spotify:track:38zsOOcu31XbbYj9BIPUF1,1,3,-3,4,128.157
Moondance - 2013 Remaster,Van Morrison,1970,spotify:track:683b4ikwa62JevCjwrmfg6,0,9,0,4,67.409
You Are The Sunshine Of My Life,Stevie Wonder,1972,spotify:track:0n2pjCIMKwHSXoYfEbYMfX,1,11,5,4,132.082
Everything I Own,Bread,1972,spotify:track:52VIdyKqp1pJRSyUQaxKUA,1,2,2,4,79.241
Wild World,Yusuf / Cat Stevens,1970,spotify:track:6Xz7FeyE8HTP90HecgHV57,1,0,0,4,151.867
"Rocket Man (I Think It's Going To Be A Long, Long Time)",Elton John,1972,spotify:track:3gdewACMIVMEWVbyb8O9sY,1,10,-2,4,136.571
American Pie,Don McLean,1971,spotify:track:1fDsrQ23eTAVFElUMaf38X,0,4,1,4,138.45
Cecilia,Simon & Garfunkel,1970,spotify:track:6QhXQOpyYvbpdbyjgAqKdY,1,0,0,4,102.762
Take It Easy - 2013 Remaster,Eagles,1972,spotify:track:4yugZvBYaoREkJKtbG08Qr,1,7,1,4,139.191
"December, 1963 (Oh, What a Night)",Frankie Valli & The Four Seasons,1975,spotify:track:4nuPrKithHbRJXuA9spwu4,1,1,-5,4,104.414
Goodbye Yellow Brick Road - Remastered 2014,Elton John,1973,spotify:track:6Rvlwah55rEmg1ufhBz022,1,5,-1,4,121.227
Band On The Run - Remastered 2010,Paul McCartney,1973,spotify:track:1H4idkmruFoJBg1DvUv2tY,1,7,1,4,124.966
Bridge Over Troubled Water,Simon & Garfunkel,1970,spotify:track:6l8EbYRtQMgKOyc1gcDHF9,1,3,-3,4,79.764
Burning Love,Elvis Presley,1973,spotify:track:7zMUCLm1TN9o9JlLISztxO,1,2,2,4,143.549
Annie's Song,John Denver,1974,spotify:track:5qxFudz7A6PGptviHsz4Yd,1,2,2,3,147.117
Tiny Dancer,Elton John,1971,spotify:track:2TVxnKdb3tqe1nhQWwwZCO,1,0,0,4,145.075
"Knowing Me, Knowing You",ABBA,1976,spotify:track:46ou4l4zvrZMada0TgoVH9,1,2,2,4,107.327
Fire and Rain,James Taylor,1970,spotify:track:3LcYYV9ozePfgYYmXv0P3r,1,5,-1,4,76.064
Big Yellow Taxi,Joni Mitchell,1970,spotify:track:6UkMcAA19lTdjs22jtB7o2,1,4,4,4,85.527
If You Leave Me Now,Chicago,1976,spotify:track:0KMGxYKeUzK9wc5DZCt3HT,1,11,5,4,104.212
It's Too Late,Carole King,2010,spotify:track:4etJ8NpS7YJ6vViV2UEJit,0,9,0,4,104.243
I Can See Clearly Now,Johnny Nash,1972,spotify:track:0oCT5rVvMdPPUm0bxG7yzT,1,2,2,4,124.392
50 Ways to Leave Your Lover,Paul Simon,1975,spotify:track:6Qb7gtV6Q4MnUjSbkFcopl,1,7,1,4,101.684
Mandy,Barry Manilow,1974,spotify:track:6iXQrhhgBisdfvS34EMTZ3,1,10,-2,4,103.734
Take A Chance On Me,ABBA,1977,spotify:track:5BckPAYcKEJuYs1eV1BHHe,1,11,5,4,107.064
Livin' Thing,Electric Light Orchestra,1976,spotify:track:2hdNya0b6Cc2YJ8IyaQIWp,1,0,0,4,122.818
Wild Horses,The Rolling Stones,1971,spotify:track:52dm9op3rbfAkc1LGXgipW,1,7,1,4,139.506
Into the Mystic - 2013 Remaster,Van Morrison,1970,spotify:track:3lh3iiiJeiBXHSZw6u0kh6,1,8,-4,4,86.204
Morning Has Broken,Yusuf / Cat Stevens,1971,spotify:track:3BqqF8suAIzW8655yJfcvh,1,7,1,3,133.126
What a Fool Believes,The Doobie Brothers,1978,spotify:track:2yBVeksU2EtrPJbTu4ZslK,0,8,5,4,120.736
Bennie And The Jets - Remastered 2014,Elton John,1973,spotify:track:0dBatXn1vVUl0jLgXRClwD,1,0,0,4,132.642
Isn't She Lovely,Stevie Wonder,1976,spotify:track:3vqlZUIT3rEmLaYKDBfb4Q,0,1,4,4,118.643
Please Mr. Postman,Carpenters,1975,spotify:track:6RMo3zv9VjmcGi4V5O3cOL,1,9,3,4,132.955
I'm Not In Love,10cc,1975,spotify:track:5HQEmiV2lKnSO6qa2fsR7x,1,4,4,4,133.738
Have You Ever Seen The Rain,Creedence Clearwater Revival,1970,spotify:track:2LawezPeJhN4AWuSB0GtAU,1,0,0,4,116.109
Jolene,Dolly Parton,1974,spotify:track:2SpEHTbUuebeLkgs9QB7Ue,0,1,4,4,110.578
Let It Be - Remastered 2009,The Beatles,1970,spotify:track:7iN1s7xHE4ifF5povM6A48,1,0,0,4,143.462
The Boxer,Simon & Garfunkel,1970,spotify:track:76TZCvJ8GitQ2FA1q5dKu0,1,11,5,4,93.017
Sir Duke,Stevie Wonder,1976,spotify:track:4RQgqR09VmHn345vRhKQ6T,1,6,6,4,106.978
Imagine - Remastered,John Lennon,1971,spotify:track:7pKfPomDEeI4TPT6EOYjn9,1,0,0,4,75.752
Here You Come Again,Dolly Parton,1977,spotify:track:6H7nDglS6xWpRidbhMwI2L,1,1,-5,4,106.491
How Deep Is Your Love,Bee Gees,1979,spotify:track:2JoZzpdeP2G6Csfdq5aLXP,0,5,-4,4,104.938
Me and Bobby McGee,Janis Joplin,1971,spotify:track:1IqFh00G2kvvMm8pRMpehA,1,2,2,4,93.19
Hotel California - 2013 Remaster,Eagles,2003,spotify:track:4Vn7TykT27PIygBiZjTR2s,1,2,2,4,147.125
Sailing,Rod Stewart,1975,spotify:track:6OuRbvP4PgbuzBIapVzmFJ,1,11,5,4,128.56
"Signed, Sealed, Delivered (I'm Yours)",Stevie Wonder,1970,spotify:track:3M5eeHXgG4VplKNcsBC8Dj,0,0,-3,4,108.826
Ventura Highway,America,1972,spotify:track:4IU1RL4BKvFyXtbTwaHAvW,1,2,2,4,130.771
Dreams - 2004 Remaster,Fleetwood Mac,1977,spotify:track:0ofHAoxe9vBkTCp2UQIavz,1,0,0,4,120.151
Jealous Guy - Remastered 2010,John Lennon,1971,spotify:track:3D9iV6cYkYJRAPFO6DRKIE,0,4,1,4,131.366
I Want You to Want Me,Cheap Trick,1977,spotify:track:1JkZg3eMQTmTn93E8Yd3UL,1,2,2,4,92.726
Somebody To Love - 2011 Mix,Queen,1976,spotify:track:4rDbp1vnvEhieiccprPMdI,1,8,-4,3,109.266
Kiss You All Over,Exile,1983,spotify:track:3FGcQkWQlkeB82RdZwlw8V,1,0,0,4,102.428
Born to Run,Bruce Springsteen,1975,spotify:track:6hTcuIQa0sxrrByu9wTD7s,1,4,4,4,146.347
You Make Me Feel Like Dancing - Remastered,Leo Sayer,1976,spotify:track:6gTrbqZnyljwXdYQTyBkSx,0,8,5,4,95.922
Long Train Runnin',The Doobie Brothers,1973,spotify:track:4nXkbcTj3nyww1cHkw5RAP,0,7,-2,4,117.399
Stumblin' In - 2017 Remaster,Suzi Quatro,1978,spotify:track:0EA8k9iH93YEJFaBuRt7Tc,1,7,1,4,129.269
You Sexy Thing,Hot Chocolate,1975,spotify:track:714hERk9U1W8FMYkoC83CO,1,5,-1,4,105.854
Guilty (feat. Barry Gibb),Barbra Streisand,1980,spotify:track:60mGckXEG1EzR4VmjYLfEW,1,0,0,4,150.875
Angie,The Rolling Stones,1973,spotify:track:1GcVa4jFySlun4jLSuMhiq,0,9,0,4,136.302
It Never Rains in Southern California,Albert Hammond,1972,spotify:track:6tunhVGD8C05MZNjSVIsjw,1,9,3,4,116.61
