track,artist,year,uri,mode,key_signature,key_integer,time_signature,bpm
I Want It That Way,Backstreet Boys,2001,spotify:track:6e40mgJiCid5HRAGrbpGA6,0,6,3,4,99.031
Stop,Spice Girls,1997,spotify:track:3FteycP8CaXS1MhjcXekVT,0,2,-1,4,130.13
Walking in Memphis,Cher,1995,spotify:track:60Pwcnt2y9ML9VP4gwrcxm,1,2,2,4,128.982
Picture Of You,Boyzone,1997,spotify:track:2AlVWg58iy4Cx6KqD0XYu2,1,0,0,4,116.65
Man! I Feel Like A Woman!,Shania Twain,1997,spotify:track:0Xd1XT0mlPMTK5uslC6pzl,1,10,-2,4,124.961
I Have Nothing - Film Version,Whitney Houston,2017,spotify:track:76puoNshqjAAocKl5KbmpQ,1,7,1,3,152.864
This Kiss,Faith Hill,2007,spotify:track:0TxXEbxn52XsuAhxb6VFZw,1,11,5,4,186.875
Back for Good - Radio Mix,Take That,1995,spotify:track:24fQpRwKFkC3Fe8QtvvrNw,1,5,-1,4,78.961
No Matter What,Boyzone,1998,spotify:track:6SLLoLPDg6XALqgCs9rBX3,1,7,1,4,92.715
Hold On,Wilson Phillips,1990,spotify:track:4VZDv8sASBS8UruUBGTFdk,1,5,-1,4,97.8
"It Must Have Been Love - From the Film ""Pretty Woman""",Roxette,1990,spotify:track:6kvoHl80mfCVTv7XnZkjQn,1,5,-1,4,80.609
Believe,Cher,1998,spotify:track:2goLsvvODILDzeeiT4dAoR,1,6,6,4,132.975
"I'll Be There for You (Theme from ""Friends')",The Rembrandts,1995,spotify:track:1lfjTOtTRUDkzcmahA4lcs,1,9,3,4,93.62
"Love Is All Around - From ""Four Weddings And A Funeral""",Wet Wet Wet,1994,spotify:track:2DZ0asZUifcas2aTEi3SrZ,1,10,-2,4,169.896
Walking on Broken Glass,Annie Lennox,1992,spotify:track:4CcSw8wQAHYf4XNckayPoc,1,0,0,4,115.008
"Because You Loved Me (Theme from ""Up Close and Personal"")",Céline Dion,1996,spotify:track:1NOeZ7ZIVKMebuza26rofd,1,1,-5,4,119.916
Sweetest Thing - The Single Mix,U2,1998,spotify:track:4AOuWMwBYlZ96c07ye2w27,1,0,0,4,142.24
Don't Let the Sun Go Down on Me,George Michael,1998,spotify:track:0q90594hk25yo0xZmBTqCd,1,0,0,4,136.465
Angels,Robbie Williams,1997,spotify:track:1M2nd8jNUkkwrc1dgBPTJz,1,4,4,4,150.22
Kiss Me,Sixpence None The Richer,2004,spotify:track:4pZ2aqPV39Gw3FuHrWKWnM,1,3,-3,4,100.004
There She Goes,The La's,1990,spotify:track:4c6vZqYHFur11FbWATIJ9P,1,7,1,4,122.777
Out Of Reach,Gabrielle,2001,spotify:track:0HKD13PLq2WicViBBhSrOl,1,11,5,4,182.862
"I'll Be There (feat. Trey Lorenz) - Live at MTV Unplugged, Kaufman Astoria Studios, New York - March 1992",Mariah Carey,2015,spotify:track:2fXNIyzcOjc5Otknzsfi2O,1,5,-1,4,75.017
Quit Playing Games (With My Heart),Backstreet Boys,2016,spotify:track:10TwZnDyL3tfpwBV85Wevs,0,11,2,4,100.041
Torn,Natalie Imbruglia,2007,spotify:track:3APayTEWiUl9Ssep4BOXR2,1,5,-1,4,96.315
(Everything I Do) I Do It For You,Bryan Adams,1991,spotify:track:1Eb90nmqTrxylKFhcUzW8P,1,1,-5,4,131.229
"Baby, I Love Your Way",Big Mountain,1994,spotify:track:1Rvl8qsKJurfFTyWLBI9ib,0,1,4,4,147.518
Truly Madly Deeply,Savage Garden,1997,spotify:track:69hwHdKl4Y1HusAutt3W6q,1,0,0,4,168.12
Everybody (Backstreet's Back) - Radio Edit,Backstreet Boys,2016,spotify:track:2WjM5cxN10uHaNqh6OLkMv,0,10,-5,4,108.006
Wannabe,Spice Girls,1996,spotify:track:1Je1IMUlBXcx1Fz0WE7oPT,1,11,5,4,110.008
I Love You Always Forever,Donna Lewis,1996,spotify:track:1PEqh7awkpuepLBSq8ZwqD,1,5,-1,4,103.773
Always Be My Baby,Mariah Carey,1995,spotify:track:2aBxt229cbLDOvtL7Xbb9x,1,4,4,4,78.946
Sometimes,Britney Spears,1999,spotify:track:1UI0l2L66HJ9AtoEOlHzv4,1,10,-2,4,95.996
"Baby, Baby",Amy Grant,1991,spotify:track:3IDsegNBHC4pjGCOMTQYlU,1,1,-5,4,97.862
A Whole New World (Aladdin's Theme),Peabo Bryson,1992,spotify:track:7fLkHVJAJLENmSvhrEHZxV,1,2,2,4,107.829
I Swear,All-4-One,1994,spotify:track:4WUnM4KNZ0kjp0CUeoyOnS,0,6,3,4,83.207
