track,artist,year,uri,mode,key_signature,key_integer,time_signature,bpm
God Only Knows - Remastered,The Beach Boys,1966,spotify:track:6iGU74CwXuT4XVepjc9Emf,0,6,3,4,117.072
To Love Somebody,Bee Gees,1967,spotify:track:3rGFsUgyH9GbbYJT4iwbhJ,1,9,3,4,90.43
I Got You Babe,Sonny & Cher,2017,spotify:track:6eN6IFp4ppKBPT61dylWWl,1,6,6,3,110.583
Suspicious Minds,Elvis Presley,2002,spotify:track:6KDG8vvFerlCU63IXdw1zb,1,7,1,4,115.21
(Sittin' On) the Dock of the Bay,Otis Redding,1968,spotify:track:4Y4Gd3ty8uut6Qw43c7yJc,1,2,2,4,205.917
(What A) Wonderful World,Sam Cooke,2000,spotify:track:2g2GkH3vZHk4lWzBjgQ6nY,1,11,5,4,128.518
Daydream Believer,The Monkees,1968,spotify:track:7uEcCGtM1FBBGIhPozhJjv,1,7,1,4,125.683
California Dreamin' - Single Version,The Mamas & The Papas,2005,spotify:track:077PiyK3YgRlnlwhtAUBp7,0,1,4,4,112.479
Brown Eyed Girl,Van Morrison,1967,spotify:track:3yrSvpt2l1xhsV9Em88Pul,1,7,1,4,150.572
You've Lost That Lovin' Feelin',The Righteous Brothers,1990,spotify:track:5GMw6X6BbCDGO9gApQYRSa,1,1,-5,4,94.108
He Ain't Heavy He's My Brother,The Hollies,2008,spotify:track:1ZCN1OVTk5LbbdEWhgWfpW,1,7,1,4,75.754
"Oh, Pretty Woman",Roy Orbison,1962,spotify:track:48i055G1OT5KxGGftwFxWy,1,9,3,4,127.432
Good Vibrations - Remastered,The Beach Boys,2006,spotify:track:2oF7FZHIJbzjeEXZ3D0Ku4,0,10,-5,4,132.91
All I Have to Do Is Dream - Single Version; 2006 Remaster,The Everly Brothers,2007,spotify:track:76HnRI6IQX4YHzYTgcM0RV,0,1,4,4,103.716
Bridge Over Troubled Water,Simon & Garfunkel,1970,spotify:track:6l8EbYRtQMgKOyc1gcDHF9,1,3,-3,4,79.764
Somethin' Stupid,Frank Sinatra,1967,spotify:track:3cVWNLd0uEHkc2tnBoE3Ay,1,4,4,4,207.074
