track,artist,year,uri,mode,key_signature,key_integer,time_signature,bpm
Treat You Better,Shawn Mendes,2016,spotify:track:53B2XmmjJ9rriW1qciMBeX,0,10,-5,4,82.823
Blank Space,Taylor Swift,2014,spotify:track:2ls70nUDfjzm1lSRDuKxmw,1,5,-1,4,96.009
Story of My Life,One Direction,2013,spotify:track:4nVBt6MZDDP6tRVdQTgxJg,1,3,-3,4,121.07
Say You Won't Let Go,James Arthur,2016,spotify:track:1Pw5C4N6Fn5E4mGCxmbbVa,1,10,-2,4,99.269
Something Just Like This,The Chainsmokers,2017,spotify:track:6RUKPb4LETWmmr3iAEQktW,0,11,2,4,103.019
Señorita,Shawn Mendes,2019,spotify:track:6v3KW9xbzN5yKLt9YKDYA2,0,9,0,4,116.967
Wildest Dreams,Taylor Swift,2014,spotify:track:3fVnlF4pGqWI9flVENcT28,1,8,-4,4,140.06
Youngblood,5 Seconds of Summer,2018,spotify:track:55S2PQgSMYAhgoTCcGCDfw,0,7,-2,4,120.274
One Last Time,Ariana Grande,2014,spotify:track:7xoUc6faLbCqZO6fQEYprd,1,8,-4,4,125.026
Happier,Ed Sheeran,2017,spotify:track:2RttW7RAu5nOAfq6YFvApB,1,0,0,4,89.792
Mercy,Shawn Mendes,2016,spotify:track:4lYTkvMkcNRj9uoSr8Zpws,0,11,2,4,147.92
The One That Got Away - Radio Mix,Katy Perry,2012,spotify:track:2G4rU2KL9kXxdp0qagLhCz,0,1,4,4,133.952
See You Again (feat. Charlie Puth),Wiz Khalifa,2015,spotify:track:2JzZzZUQj3Qff7wapcbKjc,1,10,-2,4,80.025
Love Yourself,Justin Bieber,2015,spotify:track:3hB5DgAiMAQ4DzYbsMq1IT,1,4,4,4,100.418
IDGAF,Dua Lipa,2017,spotify:track:76cy1WJvNGJTj78UqeA5zr,1,7,1,4,97.028
There's Nothing Holdin' Me Back,Shawn Mendes,2017,spotify:track:79cuOz3SPQTuFrp8WgftAu,1,2,2,4,121.996
Just the Way You Are,Bruno Mars,2010,spotify:track:47Slg6LuqLaX0VodpSCvPt,1,5,-1,4,109.012
7 rings,Ariana Grande,2019,spotify:track:6ocbgoVGwYJhOv1GgI9NsF,0,1,4,4,140.048
We Don't Talk Anymore,Charlie Puth,2016,spotify:track:06KyNuuMOX1ROXRhj787tj,0,1,4,4,100.017
What Makes You Beautiful,One Direction,2012,spotify:track:049rbQFWg5J85XAhtWTzL8,1,4,4,4,125.006
Payphone,Maroon 5,2012,spotify:track:1XGmzt0PVuFgQYYnV2It7A,1,4,4,4,110.015
Photograph,Ed Sheeran,2014,spotify:track:1HNkqx9Ahdgi1Ixy2xkKkL,1,4,4,4,107.989
Little Do You Know,Alex & Sierra,2014,spotify:track:1almCHdsfikRPfVB9VrEdT,1,0,0,4,145.879
Stitches,Shawn Mendes,2015,spotify:track:1WP1r7fuvRqZRnUaTi2I1Q,1,1,-5,4,149.882
Drag Me Down,One Direction,2015,spotify:track:70OTIpw8x8UXUsuCHW9i1i,0,0,-3,4,138.098
Like I'm Gonna Lose You (feat. John Legend),Meghan Trainor,2018,spotify:track:1XXbgifsLFB5pRNWuRqz0t,1,0,0,3,108.038
One Call Away,Charlie Puth,2016,spotify:track:7soJgKhQTO8hLP2JPRkL5O,1,1,-5,4,91.024
Symphony (feat. Zara Larsson),Clean Bandit,2017,spotify:track:1x5sYLZiu9r5E43kMlt9f8,0,0,-3,4,122.863
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,2016,spotify:track:3NdDpSvN911VPGivFlV5d0,1,0,0,4,117.973
Black Magic,Little Mix,2015,spotify:track:7FtLZygO3k5bz49x02dQO7,1,4,4,4,111.997
All of Me,John Legend,2014,spotify:track:70jqeiiCw2s12XtJBGGwi4,1,8,-4,5,83.975
Attention,Charlie Puth,2017,spotify:track:4iLqG9SeJSnt0cSPICSjxv,0,3,6,4,100.041
Unconditionally,Katy Perry,2013,spotify:track:2RPNCUaDL2ixoY9wGpoJoQ,1,7,1,4,129.003
I Knew You Were Trouble,Taylor Swift,2012,spotify:track:21K6jcmZPktm7MftqfLfLg,1,6,6,4,154.076
All I Ask,Adele,2015,spotify:track:6HbI4e2Y2f6HYVV6r04M4W,1,4,4,4,141.899
Starving,Hailee Steinfeld,2016,spotify:track:6DG2g1UhROp5pnM8fx7zH2,1,4,4,4,99.817
no tears left to cry,Ariana Grande,2018,spotify:track:5SxkdsY1ufZzoq9iXceLw9,1,0,0,4,121.969
Closer (feat. Halsey),The Chainsmokers,2016,spotify:track:7BKLCZ1jbUBVqRi2FVlTVw,1,8,-4,4,95.01
She Looks So Perfect,5 Seconds of Summer,2014,spotify:track:1gugDOSMREb34Xo0c1PlxM,1,9,3,4,160.025
Versace on the Floor,Bruno Mars,2016,spotify:track:0kN8xEmgMW9mh7UmDYHlJP,1,2,2,4,174.152
"Flashlight - From ""Pitch Perfect 2"" Soundtrack",Jessie J,2015,spotify:track:6qC8Jj1XOxknPm8N7EbzKX,1,5,-1,4,147.635
Fight Song,Rachel Platten,2016,spotify:track:37f4ITSlgPX81ad2EvmVQr,1,7,1,4,175.924
"How Far I'll Go - From ""Vaiana""",Alessia Cara,2016,spotify:track:077IVIW6uv1lL78x7a3Oc3,1,9,3,4,180.979
"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,2015,spotify:track:7y2YUIyCuVhBidENVT0068,0,5,-4,4,189.583
Dancing On My Own,Calum Scott,2016,spotify:track:02WacdrRpm4zlP8H7X6bnQ,1,1,-5,4,112.175
Locked Away,R. City,2015,spotify:track:7x5xYW5W42OGPAdHUyyguy,1,1,-5,5,118.413
When You Love Someone,James TW,2016,spotify:track:5fX2oPyLCe5mBKqGDbOWqC,1,7,1,4,125.863
When We Were Young,Adele,2016,spotify:track:7ilS0BPWS8ek2P2GaxH3cP,1,3,-3,4,144.464
Heart Attack,Demi Lovato,2013,spotify:track:1V6gIisPpYqgFeWbMLI0bA,1,8,-4,4,173.968
Stay With Me,Sam Smith,2014,spotify:track:7IHOIqZUUInxjVkko181PB,1,0,0,4,84.899
Pretty Girl - Cheat Codes X CADE Remix,Maggie Lindemann,2017,spotify:track:39IsH7B5byx8NRlEKlZVg9,0,7,-2,4,121.03
Please Don't Go,Joel Adams,2015,spotify:track:3cNjgVBKTJ1SvKhunrCdVy,0,4,1,4,84.264
Classic,MKTO,2012,spotify:track:6FE2iI43OZnszFLuLtvvmg,1,1,-5,4,102.071
PILLOWTALK,ZAYN,2016,spotify:track:0PDUDa38GO8lMxLCRc4lL1,1,11,5,4,124.944
Grenade,Bruno Mars,2010,spotify:track:4lLtanYk6tkMvooU0tWzG8,0,2,-1,4,110.443
New Rules,Dua Lipa,2017,spotify:track:2ekn2ttSfGqwhhate0LSR0,0,9,0,4,116.073
FRIENDS,Marshmello,2018,spotify:track:08bNPGLD8AhKpnnERrAc6G,0,9,0,4,95.079
Thinking out Loud,Ed Sheeran,2014,spotify:track:34gCuhDGsG4bRPIf9bb02f,1,2,2,4,78.998
Sugar,Maroon 5,2015,spotify:track:7cUVAbs6wouV3lgAIvcvYO,1,1,-5,4,120.076
When I Was Your Man,Bruno Mars,2012,spotify:track:0nJW01T7XtvILxQgC5J7Wh,1,0,0,4,72.795
I'm Not The Only One,Sam Smith,2015,spotify:track:5WLtenwEwifJHYTUw514RH,1,5,-1,4,81.996
Stereo Hearts (feat. Adam Levine),Gym Class Heroes,2011,spotify:track:0qOnSQQF0yzuPWsXrQ9paz,1,9,3,4,89.99
Scared to Be Lonely,Martin Garrix,2017,spotify:track:3ebXMykcMXOcLeJ9xZ17XH,0,1,4,4,137.972
Castle on the Hill,Ed Sheeran,2017,spotify:track:6PCUP3dWmTjcTtXY02oFdT,1,2,2,4,135.007
